epsilon,sample_index,delta_change_deg,J_change,unphysical
0.0005,164,0.0015349825581054688,3.1264307630285426e-07,True
0.0005,165,-0.0004354080906594504,5.122172873298775e-07,True
0.0005,166,0.0003974856391977255,4.270263766446847e-07,True
0.0005,167,0.001716718935657724,1.644457079849962e-06,True
0.0005,168,-8.313026995310224e-05,-9.371566878618037e-07,True
0.0005,169,0.000701258019173423,3.156299403454105e-07,True
0.0005,170,0.000550408798691393,-6.558986792616628e-07,True
0.0005,171,-7.466511002007792e-05,-6.451661990723723e-07,True
0.0005,172,0.001167943950591166,1.7285169972274667e-06,True
0.0005,173,-0.001188811144274382,-2.4001594494706124e-06,True
0.0005,174,-0.00023807993625268864,5.148082681729477e-07,True
0.0005,175,0.0006641453289546462,-1.2527978088955338e-08,True
0.0005,176,0.000431666186859303,-1.0283251314704978e-07,True
0.0005,177,-0.001427046506851326,-1.3280299792188532e-06,True
0.0005,178,0.0005017759239578368,1.3232561435622126e-06,True
0.0005,179,0.0006777515849165638,1.4597198138878442e-06,True
0.0005,180,0.0010890059221253523,4.4835562347869673e-07,True
0.0005,181,5.290095647225712e-05,1.915216699642508e-06,True
0.0005,182,0.0011871817071309465,2.067988800837778e-06,True
0.0005,183,0.001146652601484277,-3.79193670196204e-08,True
0.0005,184,0.001175492892226515,9.115843942267277e-07,True
0.0005,185,0.001330517187987823,1.0888752996415785e-06,True
0.0005,186,0.0009609441957820763,7.383303339651703e-07,True
0.0005,187,0.0009253155260822155,1.7751224509060526e-07,True
0.0005,188,-0.0014694234669718753,-1.6759587146159688e-06,True
0.0005,189,-0.0007115117839653351,-1.3762146069667275e-06,True
0.0005,190,0.001067151776844355,1.095139268405404e-06,True
0.0005,191,0.0009304179013973624,1.8947420577265783e-06,True
0.0005,192,-0.00041589212821691035,5.298661970853935e-07,True
0.0005,193,-0.0003653959382177163,-3.764597566943695e-07,True
0.0005,194,-0.0015431841774393718,-6.305426064091846e-07,True
0.0005,195,-0.0009505908402438479,-1.5068461316734838e-07,True
0.0005,196,0.00017139048629388753,2.8704571048386585e-07,True
0.0005,197,-0.00047339430713932984,4.174478321072872e-07,True
0.0005,198,-0.0006202110022357488,-1.3128904662023516e-06,True
0.0005,199,-0.0005784767479681818,-1.650458482979622e-06,True
0.001,0,-0.0016914993470891204,-1.61877752585457e-06,True
0.001,1,0.000935900052510874,-5.0886536359651124e-08,True
0.001,2,0.0012460178962321322,1.2153309100690346e-06,True
0.001,3,-0.00134377298462951,-3.734753515130529e-06,True
0.001,4,-0.0028497733454919683,-2.8986430547495168e-06,True
0.001,5,-0.0012126637860703227,-4.78899229652309e-06,True
0.001,6,0.0009562332551382724,1.0226207202874982e-06,True
0.001,7,0.0006087408509642955,-9.680017204732189e-07,True
0.001,8,-0.0007035401852633072,1.7873957344760605e-07,True
0.001,9,0.0026105233403903583,1.3154162944502973e-06,True
0.001,10,-0.0014205895598706775,-3.0766807604040713e-07,True
0.001,11,-0.0005171885789749808,-8.221826054630177e-07,True
0.001,12,0.0007785812695999539,9.034785823994196e-08,True
0.001,13,0.0008879695960324341,1.187097662544434e-06,True
0.001,14,-0.0014280099072756514,-2.4889798264093876e-06,True
0.001,15,0.0012049806104528216,5.618011206433987e-07,True
0.001,16,-0.0002543386298192729,3.1817915538932817e-07,True
0.001,17,0.0015609530503510882,5.414168595351682e-06,True
0.001,18,0.001409271653880495,4.666497686794946e-06,True
0.001,19,0.00035827366858853793,-8.411118108050952e-07,True
0.001,20,0.0028208736692469927,3.7932511594979124e-06,True
0.001,21,-0.004007456688501776,-7.338728643039097e-06,True
0.001,22,-0.0020527754810899523,-4.0351406190367034e-07,True
0.001,23,0.0035799099004059087,2.254896068681206e-06,True
0.001,24,0.0007115234080750099,-1.2263940413221458e-06,True
0.001,25,-0.0010224584806373116,-3.6992782474487562e-06,True
0.001,26,0.000503454832919914,-2.8729551384415464e-07,True
0.001,27,-0.0003330974912891804,8.30626616916616e-07,True
0.001,28,0.0008847522184431966,-6.83211898111491e-07,True
0.001,29,0.0011371108457289836,3.754132110081465e-06,True
0.001,30,-0.0014584094761183053,1.1891573720133886e-06,True
0.001,31,4.525819835521361e-05,-4.750784935621255e-07,True
0.001,32,-0.00036485409969344573,-1.8048111158977531e-06,True
